date,VIX_index
2016/1/20,27.59
2016/1/21,26.69
2016/1/22,22.34
2016/1/25,24.15
2016/1/26,22.5
2016/1/27,23.11
2016/1/28,22.42
2016/1/29,20.2
2016/2/1,19.98
2016/2/2,21.98
2016/2/3,21.65
2016/2/4,21.84
2016/2/5,23.38
2016/2/8,26
2016/2/9,26.54
2016/2/10,26.29
2016/2/11,28.14
2016/2/12,25.4
2016/2/15,
2016/2/16,24.11
2016/2/17,22.31
2016/2/18,21.64
2016/2/19,20.53
2016/2/22,19.38
2016/2/23,20.98
2016/2/24,20.72
2016/2/25,19.11
2016/2/26,19.81
2016/2/29,20.55
2016/3/1,17.7
2016/3/2,17.09
2016/3/3,16.7
2016/3/4,16.86
2016/3/7,17.35
2016/3/8,18.67
2016/3/9,18.34
2016/3/10,18.05
2016/3/11,16.5
2016/3/14,16.92
2016/3/15,16.84
2016/3/16,14.99
2016/3/17,14.44
2016/3/18,14.02
2016/3/21,13.79
2016/3/22,14.17
2016/3/23,14.94
2016/3/24,14.74
2016/3/25,
2016/3/28,15.24
2016/3/29,13.82
2016/3/30,13.56
2016/3/31,13.95
2016/4/1,13.1
2016/4/4,14.12
2016/4/5,15.42
2016/4/6,14.09
2016/4/7,16.16
2016/4/8,15.36
2016/4/11,16.26
2016/4/12,14.85
2016/4/13,13.84
2016/4/14,13.72
2016/4/15,13.62
2016/4/18,13.35
2016/4/19,13.24
2016/4/20,13.28
2016/4/21,13.95
2016/4/22,13.22
2016/4/25,14.08
2016/4/26,13.96
2016/4/27,13.77
2016/4/28,15.22
2016/4/29,15.7
2016/5/2,14.68
2016/5/3,15.6
2016/5/4,16.05
2016/5/5,15.91
2016/5/6,14.72
2016/5/9,14.57
2016/5/10,13.63
2016/5/11,14.69
2016/5/12,14.41
2016/5/13,15.04
2016/5/16,14.68
2016/5/17,15.57
2016/5/18,15.95
2016/5/19,16.33
2016/5/20,15.2
2016/5/23,15.82
2016/5/24,14.42
2016/5/25,13.9
2016/5/26,13.43
2016/5/27,13.12
2016/5/30,
2016/5/31,14.19
2016/6/1,14.2
2016/6/2,13.63
2016/6/3,13.47
2016/6/6,13.65
2016/6/7,14.05
2016/6/8,14.08
2016/6/9,14.64
2016/6/10,17.03
2016/6/13,20.97
2016/6/14,20.5
2016/6/15,20.14
2016/6/16,19.37
2016/6/17,19.41
2016/6/20,18.37
2016/6/21,18.48
2016/6/22,21.17
2016/6/23,17.25
2016/6/24,25.76
2016/6/27,23.85
2016/6/28,18.75
2016/6/29,16.64
2016/6/30,15.63
2016/7/1,14.77
2016/7/4,
2016/7/5,15.58
2016/7/6,14.96
2016/7/7,14.76
2016/7/8,13.2
2016/7/11,13.54
2016/7/12,13.55
2016/7/13,13.04
2016/7/14,12.82
2016/7/15,12.67
2016/7/18,12.44
2016/7/19,11.97
2016/7/20,11.77
2016/7/21,12.74
2016/7/22,12.02
2016/7/25,12.87
2016/7/26,13.05
2016/7/27,12.83
2016/7/28,12.72
2016/7/29,11.87
2016/8/1,12.44
2016/8/2,13.37
2016/8/3,12.86
2016/8/4,12.42
2016/8/5,11.39
2016/8/8,11.5
2016/8/9,11.66
2016/8/10,12.05
2016/8/11,11.68
2016/8/12,11.55
2016/8/15,11.81
2016/8/16,12.64
2016/8/17,12.19
2016/8/18,11.43
2016/8/19,11.34
2016/8/22,12.27
2016/8/23,12.38
2016/8/24,13.45
2016/8/25,13.63
2016/8/26,13.65
2016/8/29,12.94
2016/8/30,13.12
2016/8/31,13.42
2016/9/1,13.48
2016/9/2,11.98
2016/9/5,
2016/9/6,12.02
2016/9/7,11.94
2016/9/8,12.51
2016/9/9,17.5
2016/9/12,15.16
2016/9/13,17.85
2016/9/14,18.14
2016/9/15,16.3
2016/9/16,15.37
2016/9/19,15.53
2016/9/20,15.92
2016/9/21,13.3
2016/9/22,12.02
2016/9/23,12.29
2016/9/26,14.5
2016/9/27,13.1
2016/9/28,12.39
2016/9/29,14.02
2016/9/30,13.29
2016/10/3,13.57
2016/10/4,13.63
2016/10/5,12.99
2016/10/6,12.84
2016/10/7,13.48
2016/10/10,13.38
2016/10/11,15.36
2016/10/12,15.91
2016/10/13,16.69
2016/10/14,16.12
2016/10/17,16.21
2016/10/18,15.28
2016/10/19,14.41
2016/10/20,13.75
2016/10/21,13.34
2016/10/24,13.02
2016/10/25,13.46
2016/10/26,14.24
2016/10/27,15.36
2016/10/28,16.19
2016/10/31,17.06
2016/11/1,18.56
2016/11/2,19.32
2016/11/3,22.08
2016/11/4,22.51
2016/11/7,18.71
2016/11/8,18.74
2016/11/9,14.38
2016/11/10,14.74
2016/11/11,14.17
2016/11/14,14.48
2016/11/15,13.37
2016/11/16,13.72
2016/11/17,13.35
2016/11/18,12.85
2016/11/21,12.42
2016/11/22,12.41
2016/11/23,12.43
2016/11/24,
2016/11/25,12.34
2016/11/28,13.15
2016/11/29,12.9
2016/11/30,13.33
2016/12/1,14.07
2016/12/2,14.12
2016/12/5,12.14
2016/12/6,11.79
2016/12/7,12.22
2016/12/8,12.64
2016/12/9,11.75
2016/12/12,12.64
2016/12/13,12.72
2016/12/14,13.19
2016/12/15,12.79
2016/12/16,12.2
2016/12/19,11.71
2016/12/20,11.45
2016/12/21,11.27
2016/12/22,11.43
2016/12/23,11.44
2016/12/26,
2016/12/27,11.99
2016/12/28,12.95
2016/12/29,13.37
2016/12/30,14.04
2017/1/2,
2017/1/3,12.85
2017/1/4,11.85
2017/1/5,11.67
2017/1/6,11.32
2017/1/9,11.56
2017/1/10,11.49
2017/1/11,11.26
2017/1/12,11.54
2017/1/13,11.23
2017/1/16,
2017/1/17,11.87
2017/1/18,12.48
2017/1/19,12.78
2017/1/20,11.54
2017/1/23,11.77
2017/1/24,11.07
2017/1/25,10.81
2017/1/26,10.63
2017/1/27,10.58
2017/1/30,11.88
2017/1/31,11.99
2017/2/1,11.81
2017/2/2,11.93
2017/2/3,10.97
2017/2/6,11.37
2017/2/7,11.29
2017/2/8,11.45
2017/2/9,10.88
2017/2/10,10.85
2017/2/13,11.07
2017/2/14,10.74
2017/2/15,11.97
2017/2/16,11.76
2017/2/17,11.49
2017/2/20,
2017/2/21,11.57
2017/2/22,11.74
2017/2/23,11.71
2017/2/24,11.47
2017/2/27,12.09
2017/2/28,12.92
2017/3/1,12.54
2017/3/2,11.81
2017/3/3,10.96
2017/3/6,11.24
2017/3/7,11.45
2017/3/8,11.86
2017/3/9,12.3
2017/3/10,11.66
2017/3/13,11.35
2017/3/14,12.3
2017/3/15,11.63
2017/3/16,11.21
2017/3/17,11.28
2017/3/20,11.34
2017/3/21,12.47
2017/3/22,12.81
2017/3/23,13.12
2017/3/24,12.96
2017/3/27,12.5
2017/3/28,11.53
2017/3/29,11.42
2017/3/30,11.54
2017/3/31,12.37
2017/4/3,12.38
2017/4/4,11.79
2017/4/5,12.89
2017/4/6,12.39
2017/4/7,12.87
2017/4/10,14.05
2017/4/11,15.07
2017/4/12,15.77
2017/4/13,15.96
2017/4/14,
2017/4/17,14.66
2017/4/18,14.42
2017/4/19,14.93
2017/4/20,14.15
2017/4/21,14.63
2017/4/24,10.84
2017/4/25,10.76
2017/4/26,10.85
2017/4/27,10.36
2017/4/28,10.82
2017/5/1,10.11
2017/5/2,10.59
2017/5/3,10.68
2017/5/4,10.46
2017/5/5,10.57
2017/5/8,9.77
2017/5/9,9.96
2017/5/10,10.21
2017/5/11,10.6
2017/5/12,10.4
2017/5/15,10.42
2017/5/16,10.65
2017/5/17,15.59
2017/5/18,14.66
2017/5/19,12.04
2017/5/22,10.93
2017/5/23,10.72
2017/5/24,10.02
2017/5/25,9.99
2017/5/26,9.81
2017/5/29,
2017/5/30,10.38
2017/5/31,10.41
2017/6/1,9.89
2017/6/2,9.75
2017/6/5,10.07
2017/6/6,10.45
2017/6/7,10.39
2017/6/8,10.16
2017/6/9,10.7
2017/6/12,11.46
2017/6/13,10.42
2017/6/14,10.64
2017/6/15,10.9
2017/6/16,10.38
2017/6/19,10.37
2017/6/20,10.86
2017/6/21,10.75
2017/6/22,10.48
2017/6/23,10.02
2017/6/26,9.9
2017/6/27,11.06
2017/6/28,10.03
2017/6/29,11.44
2017/6/30,11.18
2017/7/3,11.22
2017/7/4,
2017/7/5,11.07
2017/7/6,12.54
2017/7/7,11.19
2017/7/10,11.11
2017/7/11,10.89
2017/7/12,10.3
2017/7/13,9.9
2017/7/14,9.51
2017/7/17,9.82
2017/7/18,9.89
2017/7/19,9.79
2017/7/20,9.58
2017/7/21,9.36
2017/7/24,9.43
2017/7/25,9.43
2017/7/26,9.6
2017/7/27,10.11
2017/7/28,10.29
2017/7/31,10.26
2017/8/1,10.09
2017/8/2,10.28
2017/8/3,10.44
2017/8/4,10.03
2017/8/7,9.93
2017/8/8,10.96
2017/8/9,11.11
2017/8/10,16.04
2017/8/11,15.51
2017/8/14,12.33
2017/8/15,12.04
2017/8/16,11.74
2017/8/17,15.55
2017/8/18,14.26
2017/8/21,13.19
2017/8/22,11.35
2017/8/23,12.25
2017/8/24,12.23
2017/8/25,11.28
2017/8/28,11.32
2017/8/29,11.7
2017/8/30,11.22
2017/8/31,10.59
2017/9/1,10.13
2017/9/4,
2017/9/5,12.23
2017/9/6,11.63
2017/9/7,11.55
2017/9/8,12.12
2017/9/11,10.73
2017/9/12,10.58
2017/9/13,10.5
2017/9/14,10.44
2017/9/15,10.17
2017/9/18,10.15
2017/9/19,10.18
2017/9/20,9.78
2017/9/21,9.67
2017/9/22,9.59
2017/9/25,10.21
2017/9/26,10.17
2017/9/27,9.87
2017/9/28,9.55
2017/9/29,9.51
2017/10/2,9.45
2017/10/3,9.51
2017/10/4,9.63
2017/10/5,9.19
2017/10/6,9.65
2017/10/9,10.33
2017/10/10,10.08
2017/10/11,9.85
2017/10/12,9.91
2017/10/13,9.61
2017/10/16,9.91
2017/10/17,10.31
2017/10/18,10.07
2017/10/19,10.05
2017/10/20,9.97
2017/10/23,11.07
2017/10/24,11.16
2017/10/25,11.23
2017/10/26,11.3
2017/10/27,9.8
2017/10/30,10.5
2017/10/31,10.18
2017/11/1,10.2
2017/11/2,9.93
2017/11/3,9.14
2017/11/6,9.4
2017/11/7,9.89
2017/11/8,9.78
2017/11/9,10.5
2017/11/10,11.29
2017/11/13,11.5
2017/11/14,11.59
2017/11/15,13.13
2017/11/16,11.76
2017/11/17,11.43
2017/11/20,10.65
2017/11/21,9.73
2017/11/22,9.88
2017/11/23,
2017/11/24,9.67
2017/11/27,9.87
2017/11/28,10.03
2017/11/29,10.7
2017/11/30,11.28
2017/12/1,11.43
2017/12/4,11.68
2017/12/5,11.33
2017/12/6,11.02
2017/12/7,10.16
2017/12/8,9.58
2017/12/11,9.34
2017/12/12,9.92
2017/12/13,10.18
2017/12/14,10.49
2017/12/15,9.42
2017/12/18,9.53
2017/12/19,10.03
2017/12/20,9.72
2017/12/21,9.62
2017/12/22,9.9
2017/12/25,
2017/12/26,10.25
2017/12/27,10.47
2017/12/28,10.18
2017/12/29,11.04
2018/1/1,
2018/1/2,9.77
2018/1/3,9.15
2018/1/4,9.22
2018/1/5,9.22
2018/1/8,9.52
2018/1/9,10.08
2018/1/10,9.82
2018/1/11,9.88
2018/1/12,10.16
2018/1/15,
2018/1/16,11.66
2018/1/17,11.91
2018/1/18,12.22
2018/1/19,11.27
2018/1/22,11.03
2018/1/23,11.1
2018/1/24,11.47
2018/1/25,11.58
2018/1/26,11.08
2018/1/29,13.84
2018/1/30,14.79
2018/1/31,13.54
2018/2/1,13.47
2018/2/2,17.31
2018/2/5,37.32
2018/2/6,29.98
2018/2/7,27.73
2018/2/8,33.46
2018/2/9,29.06
2018/2/12,25.61
2018/2/13,24.97
2018/2/14,19.26
2018/2/15,19.13
2018/2/16,19.46
2018/2/19,
2018/2/20,20.6
2018/2/21,20.02
2018/2/22,18.72
2018/2/23,16.49
2018/2/26,15.8
2018/2/27,18.59
2018/2/28,19.85
2018/3/1,22.47
2018/3/2,19.59
2018/3/5,18.73
2018/3/6,18.36
2018/3/7,17.76
2018/3/8,16.54
2018/3/9,14.64
2018/3/12,15.78
2018/3/13,16.35
2018/3/14,17.23
2018/3/15,16.59
2018/3/16,15.8
2018/3/19,19.02
2018/3/20,18.2
2018/3/21,17.86
2018/3/22,23.34
2018/3/23,24.87
2018/3/26,21.03
2018/3/27,22.5
2018/3/28,22.87
2018/3/29,19.97
2018/3/30,
2018/4/2,23.62
2018/4/3,21.1
2018/4/4,20.06
2018/4/5,18.94
2018/4/6,21.49
2018/4/9,21.77
2018/4/10,20.47
2018/4/11,20.24
2018/4/12,18.49
2018/4/13,17.41
2018/4/16,16.56
2018/4/17,15.25
2018/4/18,15.6
2018/4/19,15.96
2018/4/20,16.88
2018/4/23,16.34
2018/4/24,18.02
2018/4/25,17.84
2018/4/26,16.24
2018/4/27,15.41
2018/4/30,15.93
2018/5/1,15.49
2018/5/2,15.97
2018/5/3,15.9
2018/5/4,14.77
2018/5/7,14.75
2018/5/8,14.71
2018/5/9,13.42
2018/5/10,13.23
2018/5/11,12.65
2018/5/14,12.93
2018/5/15,14.63
2018/5/16,13.42
2018/5/17,13.43
2018/5/18,13.42
2018/5/21,13.08
2018/5/22,13.22
2018/5/23,12.58
2018/5/24,12.53
2018/5/25,13.22
2018/5/28,
2018/5/29,17.02
2018/5/30,14.94
2018/5/31,15.43
2018/6/1,13.46
2018/6/4,12.74
2018/6/5,12.4
2018/6/6,11.64
2018/6/7,12.13
2018/6/8,12.18
2018/6/11,12.35
2018/6/12,12.34
2018/6/13,12.94
2018/6/14,12.12
2018/6/15,11.98
2018/6/18,12.31
2018/6/19,13.35
2018/6/20,12.79
2018/6/21,14.64
2018/6/22,13.77
2018/6/25,17.33
2018/6/26,15.92
2018/6/27,17.91
2018/6/28,16.85
2018/6/29,16.09
2018/7/2,15.6
2018/7/3,16.14
2018/7/4,
2018/7/5,14.97
2018/7/6,13.37
2018/7/9,12.69
2018/7/10,12.64
2018/7/11,13.63
2018/7/12,12.58
2018/7/13,12.18
2018/7/16,12.83
2018/7/17,12.06
2018/7/18,12.1
2018/7/19,12.87
2018/7/20,12.86
2018/7/23,12.62
2018/7/24,12.41
2018/7/25,12.29
2018/7/26,12.14
2018/7/27,13.03
2018/7/30,14.26
2018/7/31,12.83
2018/8/1,13.15
2018/8/2,12.19
2018/8/3,11.64
2018/8/6,11.27
2018/8/7,10.93
2018/8/8,10.85
2018/8/9,11.27
2018/8/10,13.16
2018/8/13,14.78
2018/8/14,13.31
2018/8/15,14.64
2018/8/16,13.45
2018/8/17,12.64
2018/8/20,12.49
2018/8/21,12.86
2018/8/22,12.25
2018/8/23,12.41
2018/8/24,11.99
2018/8/27,12.16
2018/8/28,12.5
2018/8/29,12.25
2018/8/30,13.53
2018/8/31,12.86
2018/9/3,
2018/9/4,13.16
2018/9/5,13.91
2018/9/6,14.65
2018/9/7,14.88
2018/9/10,14.16
2018/9/11,13.22
2018/9/12,13.14
2018/9/13,12.37
2018/9/14,12.07
2018/9/17,13.68
2018/9/18,12.79
2018/9/19,11.75
2018/9/20,11.8
2018/9/21,11.68
2018/9/24,12.2
2018/9/25,12.42
2018/9/26,12.89
2018/9/27,12.41
2018/9/28,12.12
2018/10/1,12
2018/10/2,12.05
2018/10/3,11.61
2018/10/4,14.22
2018/10/5,14.82
2018/10/8,15.69
2018/10/9,15.95
2018/10/10,22.96
2018/10/11,24.98
2018/10/12,21.31
2018/10/15,21.3
2018/10/16,17.62
2018/10/17,17.4
2018/10/18,20.06
2018/10/19,19.89
2018/10/22,19.64
2018/10/23,20.71
2018/10/24,25.23
2018/10/25,24.22
2018/10/26,24.16
2018/10/29,24.7
2018/10/30,23.35
2018/10/31,21.23
2018/11/1,19.34
2018/11/2,19.51
2018/11/5,19.96
2018/11/6,19.91
2018/11/7,16.36
2018/11/8,16.72
2018/11/9,17.36
2018/11/12,20.45
2018/11/13,20.02
2018/11/14,21.25
2018/11/15,19.98
2018/11/16,18.14
2018/11/19,20.1
2018/11/20,22.48
2018/11/21,20.8
2018/11/22,
2018/11/23,21.52
2018/11/26,18.9
2018/11/27,19.02
2018/11/28,18.49
2018/11/29,18.79
2018/11/30,18.07
2018/12/3,16.44
2018/12/4,20.74
2018/12/5,
2018/12/6,21.19
2018/12/7,23.23
2018/12/10,22.64
2018/12/11,21.76
2018/12/12,21.46
2018/12/13,20.65
2018/12/14,21.63
2018/12/17,24.52
2018/12/18,25.58
2018/12/19,25.58
2018/12/20,28.38
2018/12/21,30.11
2018/12/24,36.07
2018/12/25,
2018/12/26,30.41
2018/12/27,29.96
2018/12/28,28.34
2018/12/31,25.42
2019/1/1,
2019/1/2,23.22
2019/1/3,25.45
2019/1/4,21.38
2019/1/7,21.4
2019/1/8,20.47
2019/1/9,19.98
2019/1/10,19.5
2019/1/11,18.19
2019/1/14,19.07
2019/1/15,18.6
2019/1/16,19.04
2019/1/17,18.06
2019/1/18,17.8
2019/1/21,
2019/1/22,20.8
2019/1/23,19.52
2019/1/24,18.89
2019/1/25,17.42
2019/1/28,18.87
2019/1/29,19.13
2019/1/30,17.66
2019/1/31,16.57
2019/2/1,16.14
2019/2/4,15.73
2019/2/5,15.57
2019/2/6,15.38
2019/2/7,16.37
2019/2/8,15.72
2019/2/11,15.97
2019/2/12,15.43
2019/2/13,15.65
2019/2/14,16.22
2019/2/15,14.91
2019/2/18,
2019/2/19,14.88
2019/2/20,14.02
2019/2/21,14.46
2019/2/22,13.51
2019/2/25,14.85
2019/2/26,15.17
2019/2/27,14.7
2019/2/28,14.78
2019/3/1,13.57
2019/3/4,14.63
2019/3/5,14.74
2019/3/6,15.74
2019/3/7,16.59
2019/3/8,16.05
2019/3/11,14.33
2019/3/12,13.77
2019/3/13,13.41
2019/3/14,13.5
2019/3/15,12.88
2019/3/18,13.1
2019/3/19,13.56
2019/3/20,13.91
2019/3/21,13.63
2019/3/22,16.48
2019/3/25,16.33
2019/3/26,14.68
2019/3/27,15.15
2019/3/28,14.43
2019/3/29,13.71
2019/4/1,13.4
2019/4/2,13.36
2019/4/3,13.74
2019/4/4,13.58
2019/4/5,12.82
2019/4/8,13.18
2019/4/9,14.28
2019/4/10,13.3
2019/4/11,13.02
2019/4/12,12.01
2019/4/15,12.32
2019/4/16,12.18
2019/4/17,12.6
2019/4/18,12.09
2019/4/19,
2019/4/22,12.42
2019/4/23,12.28
2019/4/24,13.14
2019/4/25,13.25
2019/4/26,12.73
2019/4/29,13.11
2019/4/30,13.12
2019/5/1,14.8
2019/5/2,14.42
2019/5/3,12.87
2019/5/6,15.44
2019/5/7,19.32
2019/5/8,19.4
2019/5/9,19.1
2019/5/10,16.04
2019/5/13,20.55
2019/5/14,18.06
2019/5/15,16.44
2019/5/16,15.29
2019/5/17,15.96
2019/5/20,16.31
2019/5/21,14.95
2019/5/22,14.75
2019/5/23,16.92
2019/5/24,15.85
2019/5/27,
2019/5/28,17.5
2019/5/29,17.9
2019/5/30,17.3
2019/5/31,18.71
2019/6/3,18.86
2019/6/4,16.97
2019/6/5,16.09
2019/6/6,15.93
2019/6/7,16.3
2019/6/10,15.94
2019/6/11,15.99
2019/6/12,15.91
2019/6/13,15.82
2019/6/14,15.28
2019/6/17,15.35
2019/6/18,15.15
2019/6/19,14.33
2019/6/20,14.75
2019/6/21,15.4
2019/6/24,15.26
2019/6/25,16.28
2019/6/26,16.21
2019/6/27,15.82
2019/6/28,15.08
2019/7/1,14.06
2019/7/2,12.93
2019/7/3,12.57
2019/7/4,
2019/7/5,13.28
2019/7/8,13.96
2019/7/9,14.09
2019/7/10,13.03
2019/7/11,12.93
2019/7/12,12.39
2019/7/15,12.68
2019/7/16,12.86
2019/7/17,13.97
2019/7/18,13.53
2019/7/19,14.45
2019/7/22,13.53
2019/7/23,12.61
2019/7/24,12.07
2019/7/25,12.74
2019/7/26,12.16
2019/7/29,12.83
2019/7/30,13.94
2019/7/31,16.12
2019/8/1,17.87
2019/8/2,17.61
2019/8/5,24.59
2019/8/6,20.17
2019/8/7,19.49
2019/8/8,16.91
2019/8/9,17.97
2019/8/12,21.09
2019/8/13,17.52
2019/8/14,22.1
2019/8/15,21.18
2019/8/16,18.47
2019/8/19,16.88
2019/8/20,17.5
2019/8/21,15.8
2019/8/22,16.68
2019/8/23,19.87
2019/8/26,19.32
2019/8/27,20.31
2019/8/28,19.35
2019/8/29,17.88
2019/8/30,18.98
2019/9/2,
2019/9/3,19.66
2019/9/4,17.33
2019/9/5,16.27
2019/9/6,15
2019/9/9,15.27
2019/9/10,15.2
2019/9/11,14.61
2019/9/12,14.22
2019/9/13,13.74
2019/9/16,14.67
2019/9/17,14.44
2019/9/18,13.95
2019/9/19,14.05
2019/9/20,15.32
2019/9/23,14.91
2019/9/24,17.05
2019/9/25,15.96
2019/9/26,16.07
2019/9/27,17.22
2019/9/30,16.24
2019/10/1,18.56
2019/10/2,20.56
2019/10/3,19.12
2019/10/4,17.04
2019/10/7,17.86
2019/10/8,20.28
2019/10/9,18.64
2019/10/10,17.57
2019/10/11,15.58
2019/10/14,14.57
2019/10/15,13.54
2019/10/16,13.68
2019/10/17,13.79
2019/10/18,14.25
2019/10/21,14
2019/10/22,14.46
2019/10/23,14.01
2019/10/24,13.71
2019/10/25,12.65
2019/10/28,13.11
2019/10/29,13.2
2019/10/30,12.33
2019/10/31,13.22
2019/11/1,12.3
2019/11/4,12.83
2019/11/5,13.1
2019/11/6,12.62
2019/11/7,12.73
2019/11/8,12.07
2019/11/11,12.69
2019/11/12,12.68
2019/11/13,13
2019/11/14,13.05
2019/11/15,12.05
2019/11/18,12.46
2019/11/19,12.86
2019/11/20,12.78
2019/11/21,13.13
2019/11/22,12.34
2019/11/25,11.87
2019/11/26,11.54
2019/11/27,11.75
2019/11/28,
2019/11/29,12.62
2019/12/2,14.91
2019/12/3,15.96
2019/12/4,14.8
